2019/03/01 14:56:06.887 [I]  Listing bucket `myblog` by prefix ``
2019/03/01 14:56:07.728 [I]  Downloading 20171208/3f4cc7ac-5b04-4880-bcff-21560104e9c4.png => /Users/acgpiano/github/imgcdn/qiniu/20171208/3f4cc7ac-5b04-4880-bcff-21560104e9c4.png
2019/03/01 14:56:07.728 [I]  Downloading 20171208/color-eye-love-maconha-favim-com-803200.jpg => /Users/acgpiano/github/imgcdn/qiniu/20171208/color-eye-love-maconha-favim-com-803200.jpg
2019/03/01 14:56:07.729 [I]  Downloading 20171209/ee749290b8904f77f14af0810aef6259.jpg => /Users/acgpiano/github/imgcdn/qiniu/20171209/ee749290b8904f77f14af0810aef6259.jpg
2019/03/01 14:56:07.729 [I]  Downloading 20171209/sl.jpeg => /Users/acgpiano/github/imgcdn/qiniu/20171209/sl.jpeg
2019/03/01 14:56:07.729 [I]  Downloading 20171209/icon.png => /Users/acgpiano/github/imgcdn/qiniu/20171209/icon.png
2019/03/01 14:56:07.729 [I]  Downloading 20171209/wallhaven-435722.jpg => /Users/acgpiano/github/imgcdn/qiniu/20171209/wallhaven-435722.jpg
2019/03/01 14:56:07.730 [I]  Downloading 20171210/e7c0ef1f1b84e745aa22dbb5e4c7600a_hd.jpg => /Users/acgpiano/github/imgcdn/qiniu/20171210/e7c0ef1f1b84e745aa22dbb5e4c7600a_hd.jpg
2019/03/01 14:56:07.730 [I]  Downloading 20171212/sl.jpeg => /Users/acgpiano/github/imgcdn/qiniu/20171212/sl.jpeg
2019/03/01 14:56:07.730 [I]  Downloading 2018-01-04/QQ20180104-0.png => /Users/acgpiano/github/imgcdn/qiniu/2018-01-04/QQ20180104-0.png
2019/03/01 14:56:07.730 [I]  Downloading 2018-01-04/QQ20180104-1.png => /Users/acgpiano/github/imgcdn/qiniu/2018-01-04/QQ20180104-1.png
2019/03/01 14:56:07.730 [I]  Downloading 2018-01-04/QQ20180104-170704.png => /Users/acgpiano/github/imgcdn/qiniu/2018-01-04/QQ20180104-170704.png
2019/03/01 14:56:07.731 [I]  Downloading 2018-01-04/QQ20180104-170730.png => /Users/acgpiano/github/imgcdn/qiniu/2018-01-04/QQ20180104-170730.png
2019/03/01 14:56:07.731 [I]  Downloading 2018-01-04/QQ20180104-170745.png => /Users/acgpiano/github/imgcdn/qiniu/2018-01-04/QQ20180104-170745.png
2019/03/01 14:56:07.731 [I]  Downloading 2018-01-04/QQ20180104-170801.png => /Users/acgpiano/github/imgcdn/qiniu/2018-01-04/QQ20180104-170801.png
2019/03/01 14:56:07.731 [I]  Downloading 2018-01-04/QQ20180104-170814.png => /Users/acgpiano/github/imgcdn/qiniu/2018-01-04/QQ20180104-170814.png
2019/03/01 14:56:07.732 [I]  Downloading 2018-01-04/QQ20180104-175113.png => /Users/acgpiano/github/imgcdn/qiniu/2018-01-04/QQ20180104-175113.png
2019/03/01 14:56:07.732 [I]  Downloading 2018-01-04/QQ20180104-3.png => /Users/acgpiano/github/imgcdn/qiniu/2018-01-04/QQ20180104-3.png
2019/03/01 14:56:07.732 [I]  Downloading 2018-01-04/QQ20180104-4.png => /Users/acgpiano/github/imgcdn/qiniu/2018-01-04/QQ20180104-4.png
2019/03/01 14:56:07.732 [I]  Downloading 2018-01-04/QQ20180104-5.png => /Users/acgpiano/github/imgcdn/qiniu/2018-01-04/QQ20180104-5.png
2019/03/01 14:56:07.732 [I]  Downloading 2018-01-04/QQ20180104-8.png => /Users/acgpiano/github/imgcdn/qiniu/2018-01-04/QQ20180104-8.png
2019/03/01 14:56:07.733 [I]  Downloading 2018-01-04/QQ20180104-9.png => /Users/acgpiano/github/imgcdn/qiniu/2018-01-04/QQ20180104-9.png
2019/03/01 14:56:07.733 [I]  Downloading 2018-05-29/3_meitu_1.jpg => /Users/acgpiano/github/imgcdn/qiniu/2018-05-29/3_meitu_1.jpg
2019/03/01 14:56:07.733 [I]  Downloading 2018-05-29/4.png => /Users/acgpiano/github/imgcdn/qiniu/2018-05-29/4.png
2019/03/01 14:56:07.733 [I]  Downloading acgmusic/bundle.js => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/bundle.js
2019/03/01 14:56:07.734 [I]  Downloading acgmusic/images/Intro theme2.png => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/images/Intro theme2.png
2019/03/01 14:56:07.734 [I]  Downloading acgmusic/images/Melodies of life.png => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/images/Melodies of life.png
2019/03/01 14:56:07.734 [I]  Downloading acgmusic/images/Promise.png => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/images/Promise.png
2019/03/01 14:56:07.734 [I]  Downloading acgmusic/images/aerith.png => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/images/aerith.png
2019/03/01 14:56:07.734 [I]  Downloading acgmusic/images/bdff wind.png => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/images/bdff wind.png
2019/03/01 14:56:07.735 [I]  Downloading acgmusic/images/eyesonme.png => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/images/eyesonme.png
2019/03/01 14:56:07.735 [I]  Downloading acgmusic/images/intro theme.png => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/images/intro theme.png
2019/03/01 14:56:07.735 [I]  Downloading acgmusic/images/not-tomorrow.jpg => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/images/not-tomorrow.jpg
2019/03/01 14:56:07.735 [I]  Downloading acgmusic/images/steinway.png => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/images/steinway.png
2019/03/01 14:56:07.736 [I]  Downloading acgmusic/images/tifa theme.png => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/images/tifa theme.png
2019/03/01 14:56:07.736 [I]  Downloading acgmusic/images/to zanarkand harp.png => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/images/to zanarkand harp.png
2019/03/01 14:56:07.736 [I]  Downloading acgmusic/images/tozana2.png => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/images/tozana2.png
2019/03/01 14:56:07.736 [I]  Downloading acgmusic/images/true.png => /Users/acgpiano/github/imgcdn/qiniu/acgmusic/images/true.png
2019/03/01 14:56:07.736 [I]  Downloading ajax.js => /Users/acgpiano/github/imgcdn/qiniu/ajax.js
2019/03/01 14:56:07.737 [I]  Downloading async.min.js => /Users/acgpiano/github/imgcdn/qiniu/async.min.js
2019/03/01 14:56:07.737 [I]  Downloading bg.png => /Users/acgpiano/github/imgcdn/qiniu/bg.png
2019/03/01 14:56:07.737 [I]  Downloading blogimages/o_1bf653ol6n3m18e3241vj8u6p71493781570218 => /Users/acgpiano/github/imgcdn/qiniu/blogimages/o_1bf653ol6n3m18e3241vj8u6p71493781570218
2019/03/01 14:56:07.737 [I]  Downloading blogimages/o_1bf6568fl195b1chk144v1f6qpp71493781651963 => /Users/acgpiano/github/imgcdn/qiniu/blogimages/o_1bf6568fl195b1chk144v1f6qpp71493781651963
